date,category,lesson,root_cause,fix_or_workaround,memory_ref
2026-05-25,protocol,严格 OOS 协议: IS 2014-2020 选 vs OOS 2021-2026 单跑,任何 future-data peek / sweep / 事后调参都会让 backtest 数字虚高,Phase A IC validation + Phase B OOS 单跑 (no sweep),feedback_strict_oos_backtest
2026-05-26,protocol,n_months ≥ 60 gate 必须严守 (Phase A → Phase B 前置),4 thin-sample (n<60) Phase B 候选全 OOS Calmar 衰减 -88% ~ -116%,Phase A gate: ICIR ≥ 0.4 AND n_months ≥ 60 AND Spearman |rho| < 0.30 全过才上 Phase B,project_phase_b_shareholders / project_phase_a_2026_05_27_round
2026-05-25,protocol,Spearman |rho| < 0.30 独立性是必要不充分条件,v19.7 stacked Spearman |rho|=0.02 完全独立但 OOS 仍 -17.7% — 弱因子叠强因子 = 噪声,选 sidecar 候选时既要独立性 ALSO 要 single-factor OOS ≥ baseline,project_phase4_sidecar_v7_stacked
2026-05-27,data,thin-sample IS IC 可能是 sample selection artifact (sign 都可反转),PB 在 2014-2017 sparse 期 (10-20 大蓝筹) IC -0.483 看似强 → backfill 后 ICIR +0.171 sign flip,backfill IS 数据保证 cross-section ≥ 30 后再算 IC,project_phase_a_2026_05_27_round
2026-05-25,data,baidu_kline 2014-2017 CSI300 sparse 是历史 IS Phase A 共同 ceiling,只 10-25 stocks/月 before 2018-02 → MIN_OBS=30 filter 后 IS 卡在 35 月,backfill 用 mootdx daily 抓 235/300 codes 2014-2017 200k rows (kline_2014_2017_csi300_backfill.parquet),project_phase_a_2026_05_27_round
2026-05-25,data,baidu_kline 2018-2020 corruption (27 stocks neg close / extreme low),hfq vs qfq 模式问题; 2018 全年 860 条负 close 17 股 + 2019-2020 各 10+ 股 close<0.5; 制造 +375%/+264% sub-period artifact,Phase 1A 用腾讯 fqkline hfq 重抓 23 corrupt 股; Phase 1B mootdx+sina hfq.js 全 universe v2 重建; v3 全量 re-fetch 4621 codes,project_2018_kline_corrupt / project_phase1a_corrupt_fix / project_baidu_kline_v3_full_refetch
2026-05-25,data,北向资金 free path 全死 (沪深港通 daily stock-level),自 2024-08 沪深港通下架 daily-level 数据; 东财/akshare 全废,唯一 free 是 HKEX mutualmarket.aspx 季度末快照 (1年4个点) 不足用,project_north_flow_dead
2026-05-25,data,龙虎榜 sandbox data gap,akshare DT cache 截止 2020-12, OOS 2021-2026 0 events → z_evt=0 → sidecar 退化失效,Sandbox data gap 因子不可上 Phase B; 需 paid data 或等 free 数据补全,project_phase4_sidecar_v8_dragontiger
2026-05-27,data,EM analyst forecast API forward-looking only,stock_research_report_em forecast 列只含 forward 3y frame; 历史报告 EPS forecast 全 NaN → 真 earnings revision Δ 不可计算; 退化为 analyst attention proxy,需 tushare pro paid 拿真 EPS forecast history,project_phase_a_2026_05_27_round
2026-05-27,code,mootdx freq 码 bug: freq=0=5m freq=4=daily (易错),早期 poll_5m_picks.py 误用 FREQ_5M=4 → 抓到日线 15:00 bar (不是 5m),core ref fetch_mootdx_5m_5y_backfill.py FREQ_5M=0; mootdx 频率 0=5m / 1=15m / 4=daily / 7=1m / 8=月,examples/poll_5m_picks.py FREQ_5M comment
